library_function_call,last_method_call,line,file,config,Responsable_AI_principles
differential_privacy.multiple_teachers.input.create_dir_if_needed,input.create_dir_if_needed,160,data-science-on-aws-sagemaker\10_pipeline\kubeflow\wip\privacy\research\pate_2017\train_student.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.get_flattened_attack_metrics,get_flattened_attack_metrics,91,leoalexand\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\keras_evaluation_example.py,privacy,Privacy
privacy.analysis.privacy_ledger.format_ledger,privacy_ledger.format_ledger,51,barreira\lei-1819\Privacy\mnist_half.py,privacy,Privacy
tensorflow_privacy.privacy.analysis.privacy_ledger.QueryWithLedger,privacy_ledger.QueryWithLedger,75,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\optimizers\dp_optimizer_eager_test.py,privacy,Privacy
tensorflow_privacy.privacy.dp_query.test_utils.run_query,test_utils.run_query,91,ChubaOraka\data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\dp_query\nested_query_test.py,privacy,Privacy
tensorflow_privacy.privacy.bolt_on.optimizers.BoltOn,opt.BoltOn,333,data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\optimizers_test.py,privacy,Privacy
tensorflow_privacy.privacy.bolt_on.optimizers.BoltOn,BoltOn,92,vijay-khanna\data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\models.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.AttackInputData,AttackInputData,127,leoalexand\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\data_structures_test.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.SingleSliceSpec,SingleSliceSpec,24,vijay-khanna\data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\data_structures_test.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.AttackResults,AttackResults,308,leoalexand\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\data_structures_test.py,privacy,Privacy
tensorflow_privacy.privacy.estimators.test_utils.make_model_fn,test_utils.make_model_fn,56,ChubaOraka\data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\estimators\multi_class_head_test.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.PrivacyReportMetadata,PrivacyReportMetadata,222,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\data_structures_test.py,privacy,Privacy
crypten.load_from_party,crypten.load_from_party,69,gkaissis\PriMIA\syft\frameworks\crypten\__init__.py,crypten,Privacy
tensorflow_privacy.privacy.dp_query.quantile_estimator_query.NoPrivacyQuantileEstimatorQuery,quantile_estimator_query.NoPrivacyQuantileEstimatorQuery,35,data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\quantile_estimator_query_test.py,privacy,Privacy
tensorflow_privacy.privacy.estimators.test_utils.make_input_fn,test_utils.make_input_fn,50,ChubaOraka\data-science-on-aws-workshop-2021-05-15\07_train\privacy\tensorflow_privacy\privacy\estimators\v1\dnn_test.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.SingleSliceSpec,SingleSliceSpec,86,leoalexand\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\dataset_slicing.py,privacy,Privacy
tensorflow_privacy.privacy.estimators.multi_class_head.DPMultiClassHead,DPMultiClassHead,42,ChubaOraka\data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\estimators\head_utils.py,privacy,Privacy
tensorflow_privacy.privacy.dp_query.gaussian_query.GaussianSumQuery,gaussian_query.GaussianSumQuery,36,ChubaOraka\data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\dp_query\gaussian_query_test.py,privacy,Privacy
tensorflow_privacy.privacy.optimizers.dp_optimizer_vectorized.VectorizedDPSGD,dp_optimizer_vectorized.VectorizedDPSGD,87,leoalexand\aws-ds-NLP-BERT\07_train\wip\privacy\tutorials\mnist_dpsgd_tutorial_vectorized.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures._log_value,_log_value,90,vijay-khanna\data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\data_structures_test.py,privacy,Privacy
tensorflow_privacy.privacy.bolt_on.losses.StrongConvexMixin,StrongConvexMixin,56,ChubaOraka\data-science-on-aws-workshop-2021-05-15\07_train\privacy\tensorflow_privacy\privacy\bolt_on\losses_test.py,privacy,Privacy
tensorflow_privacy.privacy.bolt_on.losses.StrongConvexBinaryCrossentropy,losses.StrongConvexBinaryCrossentropy,26,aws-ds-NLP-BERT\07_train\wip\privacy\tutorials\bolton_tutorial.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.AttackResultsCollection,AttackResultsCollection,239,data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\membership_inference_attack\data_structures_test.py,privacy,Privacy
crypten.save,crypten.save,149,hitimr\ML_2020\old\peter\crypten\first_crypten.py,crypten,Privacy
tensorflow_privacy.privacy.membership_inference_attack.privacy_report.plot_privacy_vs_accuracy,privacy_report.plot_privacy_vs_accuracy,135,ChubaOraka\data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\membership_inference_attack\codelabs\privacy_report_codelab.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.AttackInputData,AttackInputData,115,data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\data_structures_test.py,privacy,Privacy
tensorflow_privacy.privacy.analysis.privacy_ledger.QueryWithLedger,privacy_ledger.QueryWithLedger,339,ChubaOraka\data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\dp_query\quantile_adaptive_clip_sum_query_test.py,privacy,Privacy
privacy.analysis.rdp_accountant.compute_rdp,rdp_accountant.compute_rdp,130,leoalexand\aws-ds-NLP-BERT\10_pipeline\kubeflow\wip\privacy\analysis\rdp_accountant_test.py,privacy,Privacy
tensorflow_privacy.privacy.analysis.privacy_ledger.QueryWithLedger,privacy_ledger.QueryWithLedger,222,leoalexand\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\optimizers\dp_optimizer.py,privacy,Privacy
opacus.custom_tensor.PerBatchGrads,PerBatchGrads,1164,parkbeomsik\opacus-fusion\opacus\optimizers\optimizer.py,opacus,Privacy
opacus.privacy_analysis.get_privacy_spent,privacy_analysis.get_privacy_spent,51,msai-amin\DP-FL\opacus\scripts\compute_dp_sgd_privacy.py,privacy,Privacy
tensorflow_privacy.privacy.dp_query.gaussian_query.GaussianSumQuery,gaussian_query.GaussianSumQuery,78,ChubaOraka\data-science-on-aws-workshop-2021-05-15\07_train\privacy\tensorflow_privacy\privacy\dp_query\nested_query_test.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.AttackResults,AttackResults,49,vijay-khanna\data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\privacy_report_test.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.SingleSliceSpec,SingleSliceSpec,112,ChubaOraka\data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\membership_inference_attack\dataset_slicing.py,privacy,Privacy
tensorflow_privacy.privacy.dp_query.test_utils.run_query,test_utils.run_query,232,leoalexand\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\quantile_estimator_query_test.py,privacy,Privacy
tensorflow_privacy.privacy.analysis.privacy_ledger.QueryWithLedger,privacy_ledger.QueryWithLedger,46,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\optimizers\dp_optimizer_eager_test.py,privacy,Privacy
tensorflow_privacy.privacy.analysis.privacy_ledger.QueryWithLedger,privacy_ledger.QueryWithLedger,80,riku1212\dp-tsc-baseline\privacy\tensorflow_privacy\privacy\optimizers\dp_optimizer_test.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.membership_inference_attack.run_attacks,mia.run_attacks,126,ChubaOraka\data-science-on-aws-workshop-2021-05-15\07_train\privacy\tensorflow_privacy\privacy\membership_inference_attack\keras_evaluation.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.RocCurve,RocCurve,215,ChubaOraka\data-science-on-aws-workshop-2021-05-15\07_train\privacy\tensorflow_privacy\privacy\membership_inference_attack\data_structures_test.py,privacy,Privacy
opacus.utils.module_modification.convert_batchnorm_modules,convert_batchnorm_modules,26,FarrandTom\deep-learning-fairness\opacus\tests\dp_model_inspector_test.py,opacus,Privacy
opacus.utils.module_inspection.ModelInspector,mi.ModelInspector,35,msai-amin\DP-FL\opacus\utils\tests\module_inspection_test.py,opacus,Privacy
privacy.analysis.rdp_accountant.compute_rdp,rdp_accountant.compute_rdp,72,ChubaOraka\data-science-on-aws-workshop-2021-05-15\10_pipeline\kubeflow\wip\privacy\analysis\rdp_accountant_test.py,privacy,Privacy
tensorflow_privacy.privacy.dp_query.gaussian_query.GaussianSumQuery,gaussian_query.GaussianSumQuery,51,ChubaOraka\data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\optimizers\dp_optimizer_test.py,privacy,Privacy
tensorflow_privacy.privacy.estimators.binary_class_head.DPBinaryClassHead,DPBinaryClassHead,37,ChubaOraka\data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\estimators\head_utils.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.tf_estimator_evaluation.MembershipInferenceTrainingHook,MembershipInferenceTrainingHook,100,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\tf_estimator_evaluation_example.py,privacy,Privacy
opacus.utils.batch_memory_manager.BatchMemoryManager,BatchMemoryManager,242,parkbeomsik\opacus-fusion\examples\train_cifar10.py,opacus,Privacy
opacus.layers.DifferentiallyPrivateDistributedDataParallel,DPDDP,70,woodyx218\opacus_global_clipping\opacus\tests\multigpu_gradcheck.py,opacus,Privacy
tensorflow_privacy.privacy.membership_inference_attack.dataset_slicing.get_single_slice_specs,get_single_slice_specs,67,data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\dataset_slicing_test.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.get_flattened_attack_metrics,get_flattened_attack_metrics,140,ChubaOraka\data-science-on-aws-workshop-2021-05-15\07_train\privacy\tensorflow_privacy\privacy\membership_inference_attack\tf_estimator_evaluation_example.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.AttackResults,AttackResults,296,data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\data_structures_test.py,privacy,Privacy
differential_privacy.multiple_teachers.input.ld_cifar10,input.ld_cifar10,47,data-science-on-aws-workshop-2021-06-28\10_pipeline\kubeflow\wip\privacy\research\pate_2017\train_teachers.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.AttackInputData,AttackInputData,119,ChubaOraka\data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\membership_inference_attack\data_structures_test.py,privacy,Privacy
opacus.PrivacyEngine,PrivacyEngine,726,parkbeomsik\opacus-fusion\examples\train_bert\classification\run_classification.py,opacus,Privacy
tensorflow_privacy.privacy.membership_inference_attack.models.LogisticRegressionAttacker,models.LogisticRegressionAttacker,39,vijay-khanna\data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\membership_inference_attack.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.SlicingSpec,SlicingSpec,87,vijay-khanna\data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\keras_evaluation_example.py,privacy,Privacy
tensorflow_privacy.privacy.estimators.test_utils.make_input_data,test_utils.make_input_data,70,data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\estimators\v1\head_test.py,privacy,Privacy
tensorflow_privacy.privacy.estimators.test_utils.make_input_fn,test_utils.make_input_fn,66,leoalexand\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\estimators\multi_label_head_test.py,privacy,Privacy
privacy.analysis.rdp_accountant.get_privacy_spent,rdp_accountant.get_privacy_spent,113,vijay-khanna\data-science-on-aws-sagemaker\10_pipeline\kubeflow\wip\privacy\analysis\rdp_accountant_test.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.dataset_slicing.get_slice,get_slice,145,vijay-khanna\data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\membership_inference_attack.py,privacy,Privacy
privacy.optimizers.gaussian_query.GaussianAverageQuery,gaussian_query.GaussianAverageQuery,86,data-science-on-aws-workshop-2021-06-28\10_pipeline\kubeflow\wip\privacy\optimizers\gaussian_query_test.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.dataset_slicing.get_single_slice_specs,get_single_slice_specs,58,leoalexand\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\dataset_slicing_test.py,privacy,Privacy
tensorflow_privacy.privacy.dp_query.nested_query.NestedSumQuery,nested_query.NestedSumQuery,161,ChubaOraka\data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\dp_query\nested_query_test.py,privacy,Privacy
opacus.dp_model_inspector.DPModelInspector,dp_inspector.DPModelInspector,85,woodyx218\opacus_global_clipping\opacus\tests\dp_model_inspector_test.py,opacus,Privacy
tensorflow_privacy.privacy.estimators.test_utils.make_input_data,test_utils.make_input_data,53,data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\estimators\v1\dnn_test.py,privacy,Privacy
privacy.optimizers.nested_query.NestedQuery,nested_query.NestedQuery,71,ChubaOraka\data-science-on-aws-workshop-2021-06-28\10_pipeline\kubeflow\wip\privacy\optimizers\nested_query_test.py,privacy,Privacy
privacy.optimizers.gaussian_query.GaussianAverageQuery,gaussian_query.GaussianAverageQuery,86,ChubaOraka\data-science-on-aws-workshop-2021-05-15\10_pipeline\kubeflow\wip\privacy\optimizers\gaussian_query_test.py,privacy,Privacy
tensorflow_privacy.privacy.estimators.test_utils.make_input_fn,test_utils.make_input_fn,61,ChubaOraka\data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\estimators\binary_class_head_test.py,privacy,Privacy
tensorflow_privacy.privacy.analysis.privacy_ledger.PrivacyLedger,privacy_ledger.PrivacyLedger,23,data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\privacy_ledger_test.py,privacy,Privacy
tensorflow_privacy.privacy.estimators.v1.head._binary_logistic_or_multi_class_head,head_lib._binary_logistic_or_multi_class_head,53,leoalexand\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\estimators\v1\head_test.py,privacy,Privacy
tensorflow_privacy.privacy.analysis.gdp_accountant.compute_eps_poisson,compute_eps_poisson,146,ChubaOraka\data-science-on-aws-workshop-2021-06-28\07_train\privacy\research\GDP_2019\imdb_tutorial.py,privacy,Privacy
tensorflow_privacy.privacy.dp_query.test_utils.run_query,test_utils.run_query,282,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\quantile_adaptive_clip_sum_query_test.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.membership_inference_attack._get_accuracy,mia._get_accuracy,82,ChubaOraka\data-science-on-aws-workshop-2021-05-15\07_train\privacy\tensorflow_privacy\privacy\membership_inference_attack\membership_inference_attack_test.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.membership_inference_attack._get_accuracy,mia._get_accuracy,84,data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\membership_inference_attack\membership_inference_attack_test.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.plotting.save_plot,plotting.save_plot,103,riku1212\dp-tsc-baseline\privacy\tensorflow_privacy\privacy\membership_inference_attack\membership_inference_attack.py,privacy,Privacy
tensorflow_privacy.privacy.bolt_on.models.BoltOnModel,models.BoltOnModel,21,leoalexand\aws-ds-NLP-BERT\07_train\wip\privacy\tutorials\bolton_tutorial.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.SingleSliceSpec,SingleSliceSpec,31,ChubaOraka\data-science-on-aws-workshop-2021-05-15\07_train\privacy\tensorflow_privacy\privacy\membership_inference_attack\dataset_slicing_test.py,privacy,Privacy
tensorflow_privacy.privacy.analysis.privacy_ledger.SampleEntry,privacy_ledger.SampleEntry,164,ChubaOraka\data-science-on-aws-workshop-2021-05-15\07_train\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py,privacy,Privacy
tensorflow_privacy.privacy.bolt_on.optimizers.BoltOn,BoltOn,338,ChubaOraka\data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\bolt_on\models_test.py,privacy,Privacy
privacy.analysis.rdp_accountant.compute_rdp,compute_rdp,190,ChubaOraka\data-science-on-aws-workshop-2021-05-15\10_pipeline\kubeflow\wip\07_Privacy_Differential.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.RocCurve,RocCurve,194,ChubaOraka\data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\membership_inference_attack\data_structures_test.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.AttackInputData,AttackInputData,92,ChubaOraka\data-science-on-aws-workshop-2021-05-15\07_train\privacy\tensorflow_privacy\privacy\membership_inference_attack\data_structures_test.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.RocCurve,RocCurve,93,data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\membership_inference_attack.py,privacy,Privacy
tensorflow_privacy.privacy.estimators.test_utils.make_input_data,test_utils.make_input_data,75,ChubaOraka\data-science-on-aws-workshop-2021-05-15\07_train\privacy\tensorflow_privacy\privacy\estimators\v1\head_test.py,privacy,Privacy
opacus.layers.DPMultiheadAttention,DPMultiheadAttention,67,msai-amin\DP-FL\opacus\tests\dp_layers\dp_multihead_attention_test.py,opacus,Privacy
tensorflow_privacy.privacy.optimizers.dp_optimizer.make_gaussian_optimizer_class,dp_optimizer.make_gaussian_optimizer_class,318,data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\optimizers\dp_optimizer_test.py,privacy,Privacy
tensorflow_privacy.privacy.optimizers.dp_optimizer.make_gaussian_optimizer_class,dp_optimizer.make_gaussian_optimizer_class,318,ChubaOraka\data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\optimizers\dp_optimizer_test.py,privacy,Privacy
tensorflow_privacy.privacy.analysis.rdp_accountant.compute_rdp,compute_rdp,41,leoalexand\aws-ds-NLP-BERT\07_train\wip\privacy\tutorials\mnist_dpsgd_tutorial_keras.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.PrivacyReportMetadata,PrivacyReportMetadata,111,data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\membership_inference_attack\codelabs\privacy_report_codelab.py,privacy,Privacy
tensorflow_privacy.privacy.estimators.test_utils.make_input_data,test_utils.make_input_data,53,ChubaOraka\data-science-on-aws-workshop-2021-05-15\07_train\privacy\tensorflow_privacy\privacy\estimators\v1\dnn_test.py,privacy,Privacy
privacy.optimizers.gaussian_query.GaussianAverageQuery,gaussian_query.GaussianAverageQuery,30,vijay-khanna\data-science-on-aws-sagemaker\10_pipeline\kubeflow\wip\privacy\optimizers\dp_optimizer.py,privacy,Privacy
tensorflow_privacy.privacy.dp_query.quantile_adaptive_clip_sum_query.QuantileAdaptiveClipSumQuery,quantile_adaptive_clip_sum_query.QuantileAdaptiveClipSumQuery,156,leoalexand\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\quantile_adaptive_clip_sum_query_test.py,privacy,Privacy
crypten.nn.Linear,crpyt_nn.Linear,12,hitimr\ML_2020\old\failed\cryptnet.py,crypten,Privacy
tensorflow_privacy.privacy.bolt_on.models.BoltOnModel,models.BoltOnModel,174,vijay-khanna\data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\models_test.py,privacy,Privacy
privacy.optimizers.gaussian_query.GaussianSumQuery,gaussian_query.GaussianSumQuery,51,vijay-khanna\data-science-on-aws-sagemaker\10_pipeline\kubeflow\wip\privacy\optimizers\nested_query_test.py,privacy,Privacy
differential_privacy.multiple_teachers.utils.batch_indices,utils.batch_indices,498,data-science-on-aws-workshop-2021-06-28\10_pipeline\kubeflow\wip\privacy\research\pate_2017\deep_cnn.py,privacy,Privacy
tensorflow_privacy.privacy.bolt_on.optimizers.BoltOn,opt.BoltOn,414,data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\bolt_on\optimizers_test.py,privacy,Privacy
tensorflow_privacy.privacy.bolt_on.losses.StrongConvexHuber,StrongConvexHuber,255,riku1212\dp-tsc-baseline\privacy\tensorflow_privacy\privacy\bolt_on\losses_test.py,privacy,Privacy
tensorflow_privacy.privacy.dp_query.no_privacy_query.NoPrivacySumQuery,no_privacy_query.NoPrivacySumQuery,22,ChubaOraka\data-science-on-aws-workshop-2021-05-15\07_train\privacy\tensorflow_privacy\privacy\dp_query\no_privacy_query_test.py,privacy,Privacy
tensorflow_privacy.privacy.bolt_on.models.BoltOnModel,models.BoltOnModel,21,vijay-khanna\data-science-on-aws-sagemaker\07_train\wip\privacy\tutorials\bolton_tutorial.py,privacy,Privacy
tensorflow_privacy.privacy.estimators.test_utils.make_input_data,test_utils.make_input_data,68,leoalexand\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\estimators\multi_class_head_test.py,privacy,Privacy
tensorflow_privacy.privacy.dp_query.quantile_estimator_query.QuantileEstimatorQuery,quantile_estimator_query.QuantileEstimatorQuery,77,ChubaOraka\data-science-on-aws-workshop-2021-05-15\07_train\privacy\tensorflow_privacy\privacy\dp_query\quantile_adaptive_clip_sum_query.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.AttackResultsCollection,AttackResultsCollection,89,ChubaOraka\data-science-on-aws-workshop-2021-05-15\07_train\privacy\tensorflow_privacy\privacy\membership_inference_attack\privacy_report_test.py,privacy,Privacy
privacy.analysis.rdp_accountant._compute_log_a,rdp_accountant._compute_log_a,98,data-science-on-aws-sagemaker\10_pipeline\kubeflow\wip\privacy\analysis\rdp_accountant_test.py,privacy,Privacy
privacy.optimizers.gaussian_query.GaussianSumQuery,gaussian_query.GaussianSumQuery,116,data-science-on-aws-sagemaker\10_pipeline\kubeflow\wip\privacy\optimizers\gaussian_query_test.py,privacy,Privacy
tensorflow_privacy.privacy.analysis.rdp_accountant.compute_rdp,rdp_accountant.compute_rdp,91,data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py,privacy,Privacy
tensorflow_privacy.privacy.dp_query.nested_query.NestedSumQuery,nested_query.NestedSumQuery,128,ChubaOraka\data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\dp_query\nested_query_test.py,privacy,Privacy
tensorflow_privacy.privacy.bolt_on.optimizers.BoltOn,opt.BoltOn,491,leoalexand\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\optimizers_test.py,privacy,Privacy
tensorflow_privacy.privacy.dp_query.nested_query.NestedSumQuery,nested_query.NestedSumQuery,141,vijay-khanna\data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\nested_query_test.py,privacy,Privacy
