library,function,line,file,logging_type
logging.debug,logging.debug,251,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\py27gcp\lib\python2.7\site-packages\apitools\base\py\http_wrapper.py,Python logging
logging.debug,logging.debug,257,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\py27gcp\lib\python2.7\site-packages\apitools\base\py\http_wrapper.py,Python logging
logging.debug,logging.debug,263,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\py27gcp\lib\python2.7\site-packages\apitools\base\py\http_wrapper.py,Python logging
logging.debug,logging.debug,267,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\py27gcp\lib\python2.7\site-packages\apitools\base\py\http_wrapper.py,Python logging
logging.debug,logging.debug,270,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\py27gcp\lib\python2.7\site-packages\apitools\base\py\http_wrapper.py,Python logging
logging.debug,logging.debug,273,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\py27gcp\lib\python2.7\site-packages\apitools\base\py\http_wrapper.py,Python logging
logging.debug,logging.debug,278,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\py27gcp\lib\python2.7\site-packages\apitools\base\py\http_wrapper.py,Python logging
logging.info,logging.info,43,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\py27gcp\lib\python2.7\site-packages\apitools\gen\client_generation_test.py,Python logging
logging.error,logging.error,47,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\py27gcp\lib\python2.7\site-packages\apitools\gen\client_generation_test.py,Python logging
logging.warning,logging.warning,149,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\py27gcp\lib\python2.7\site-packages\apitools\gen\command_registry.py,Python logging
logging.warning,logging.warning,64,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\py27gcp\lib\python2.7\site-packages\apitools\gen\gen_client.py,Python logging
logging.warning,logging.warning,68,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\py27gcp\lib\python2.7\site-packages\apitools\gen\gen_client.py,Python logging
logging.error,logging.error,146,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\py27gcp\lib\python2.7\site-packages\apitools\gen\gen_client.py,Python logging
logging.error,logging.error,166,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\py27gcp\lib\python2.7\site-packages\apitools\gen\gen_client.py,Python logging
logging.warn,logging.warn,336,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\py27gcp\lib\python2.7\site-packages\apitools\gen\service_registry.py,Python logging
logging.warn,logging.warn,344,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\py27gcp\lib\python2.7\site-packages\apitools\gen\service_registry.py,Python logging
logging.info,logging.info,325,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\a0x8o\drill\sdks\python\.tox\py27gcp\lib\python2.7\site-packages\apitools\gen\util.py,Python logging
