,library_function_call,last_method_call,line,file,config,Responsable_AI_principles,Repos
386,tensorflow_privacy.privacy.membership_inference_attack.data_structures.RocCurve,RocCurve,284,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\data_structures_test.py,privacy,Privacy,aws-ds-NLP-BERT
387,tensorflow_privacy.privacy.membership_inference_attack.data_structures.AttackResults,AttackResults,290,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\data_structures_test.py,privacy,Privacy,aws-ds-NLP-BERT
388,tensorflow_privacy.privacy.membership_inference_attack.data_structures.AttackResults,AttackResults,296,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\data_structures_test.py,privacy,Privacy,aws-ds-NLP-BERT
389,tensorflow_privacy.privacy.membership_inference_attack.data_structures.AttackResults,AttackResults,302,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\data_structures_test.py,privacy,Privacy,aws-ds-NLP-BERT
390,tensorflow_privacy.privacy.membership_inference_attack.data_structures.AttackResults,AttackResults,308,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\data_structures_test.py,privacy,Privacy,aws-ds-NLP-BERT
391,tensorflow_privacy.privacy.membership_inference_attack.data_structures.AttackResults,AttackResults,314,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\data_structures_test.py,privacy,Privacy,aws-ds-NLP-BERT
392,tensorflow_privacy.privacy.membership_inference_attack.data_structures.AttackResults,AttackResults,331,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\data_structures_test.py,privacy,Privacy,aws-ds-NLP-BERT
393,tensorflow_privacy.privacy.membership_inference_attack.data_structures.AttackResults,AttackResults,342,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\data_structures_test.py,privacy,Privacy,aws-ds-NLP-BERT
394,tensorflow_privacy.privacy.membership_inference_attack.data_structures.AttackResults.load,AttackResults.load,348,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\data_structures_test.py,privacy,Privacy,aws-ds-NLP-BERT
395,tensorflow_privacy.privacy.membership_inference_attack.data_structures.AttackResults,AttackResults,356,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\data_structures_test.py,privacy,Privacy,aws-ds-NLP-BERT
396,tensorflow_privacy.privacy.membership_inference_attack.data_structures.AttackResultsCollection,AttackResultsCollection,105,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\example.py,privacy,Privacy,aws-ds-NLP-BERT
397,tensorflow_privacy.privacy.membership_inference_attack.data_structures.PrivacyReportMetadata,PrivacyReportMetadata,128,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\example.py,privacy,Privacy,aws-ds-NLP-BERT
398,tensorflow_privacy.privacy.membership_inference_attack.membership_inference_attack.run_attacks,mia.run_attacks,136,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\example.py,privacy,Privacy,aws-ds-NLP-BERT
399,tensorflow_privacy.privacy.membership_inference_attack.data_structures.AttackInputData,AttackInputData,137,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\example.py,privacy,Privacy,aws-ds-NLP-BERT
400,tensorflow_privacy.privacy.membership_inference_attack.data_structures.SlicingSpec,SlicingSpec,144,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\example.py,privacy,Privacy,aws-ds-NLP-BERT
401,tensorflow_privacy.privacy.membership_inference_attack.privacy_report.plot_by_epochs,privacy_report.plot_by_epochs,151,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\example.py,privacy,Privacy,aws-ds-NLP-BERT
402,tensorflow_privacy.privacy.membership_inference_attack.privacy_report.plot_privacy_vs_accuracy,privacy_report.plot_privacy_vs_accuracy,154,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\example.py,privacy,Privacy,aws-ds-NLP-BERT
403,tensorflow_privacy.privacy.membership_inference_attack.data_structures.AttackResults.load,AttackResults.load,162,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\example.py,privacy,Privacy,aws-ds-NLP-BERT
404,tensorflow_privacy.privacy.membership_inference_attack.plotting.plot_roc_curve,plotting.plot_roc_curve,197,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\example.py,privacy,Privacy,aws-ds-NLP-BERT
405,tensorflow_privacy.privacy.membership_inference_attack.utils.log_loss,log_loss,32,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\keras_evaluation.py,privacy,Privacy,aws-ds-NLP-BERT
406,tensorflow_privacy.privacy.membership_inference_attack.data_structures.get_flattened_attack_metrics,get_flattened_attack_metrics,86,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\keras_evaluation.py,privacy,Privacy,aws-ds-NLP-BERT
407,tensorflow_privacy.privacy.membership_inference_attack.utils_tensorboard.write_results_to_tensorboard,write_results_to_tensorboard,94,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\keras_evaluation.py,privacy,Privacy,aws-ds-NLP-BERT
408,tensorflow_privacy.privacy.membership_inference_attack.data_structures.AttackInputData,AttackInputData,121,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\keras_evaluation.py,privacy,Privacy,aws-ds-NLP-BERT
409,tensorflow_privacy.privacy.membership_inference_attack.membership_inference_attack.run_attacks,mia.run_attacks,126,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\keras_evaluation.py,privacy,Privacy,aws-ds-NLP-BERT
410,tensorflow_privacy.privacy.membership_inference_attack.keras_evaluation.MembershipInferenceCallback,MembershipInferenceCallback,65,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\keras_evaluation_example.py,privacy,Privacy,aws-ds-NLP-BERT
411,tensorflow_privacy.privacy.membership_inference_attack.data_structures.SlicingSpec,SlicingSpec,68,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\keras_evaluation_example.py,privacy,Privacy,aws-ds-NLP-BERT
412,tensorflow_privacy.privacy.membership_inference_attack.keras_evaluation.run_attack_on_keras_model,run_attack_on_keras_model,85,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\keras_evaluation_example.py,privacy,Privacy,aws-ds-NLP-BERT
413,tensorflow_privacy.privacy.membership_inference_attack.data_structures.SlicingSpec,SlicingSpec,87,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\keras_evaluation_example.py,privacy,Privacy,aws-ds-NLP-BERT
414,tensorflow_privacy.privacy.membership_inference_attack.data_structures.get_flattened_attack_metrics,get_flattened_attack_metrics,91,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\keras_evaluation_example.py,privacy,Privacy,aws-ds-NLP-BERT
415,tensorflow_privacy.privacy.membership_inference_attack.keras_evaluation.calculate_losses,keras_evaluation.calculate_losses,38,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\keras_evaluation_test.py,privacy,Privacy,aws-ds-NLP-BERT
416,tensorflow_privacy.privacy.membership_inference_attack.keras_evaluation.calculate_losses,keras_evaluation.calculate_losses,43,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\keras_evaluation_test.py,privacy,Privacy,aws-ds-NLP-BERT
417,tensorflow_privacy.privacy.membership_inference_attack.keras_evaluation.run_attack_on_keras_model,keras_evaluation.run_attack_on_keras_model,50,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\keras_evaluation_test.py,privacy,Privacy,aws-ds-NLP-BERT
418,tensorflow_privacy.privacy.membership_inference_attack.data_structures.get_flattened_attack_metrics,get_flattened_attack_metrics,56,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\keras_evaluation_test.py,privacy,Privacy,aws-ds-NLP-BERT
419,tensorflow_privacy.privacy.membership_inference_attack.data_structures.SingleSliceSpec,SingleSliceSpec,29,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\membership_inference_attack.py,privacy,Privacy,aws-ds-NLP-BERT
420,tensorflow_privacy.privacy.membership_inference_attack.models.LogisticRegressionAttacker,models.LogisticRegressionAttacker,39,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\membership_inference_attack.py,privacy,Privacy,aws-ds-NLP-BERT
421,tensorflow_privacy.privacy.membership_inference_attack.models.MultilayerPerceptronAttacker,models.MultilayerPerceptronAttacker,41,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\membership_inference_attack.py,privacy,Privacy,aws-ds-NLP-BERT
422,tensorflow_privacy.privacy.membership_inference_attack.models.RandomForestAttacker,models.RandomForestAttacker,43,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\membership_inference_attack.py,privacy,Privacy,aws-ds-NLP-BERT
423,tensorflow_privacy.privacy.membership_inference_attack.models.KNearestNeighborsAttacker,models.KNearestNeighborsAttacker,45,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\membership_inference_attack.py,privacy,Privacy,aws-ds-NLP-BERT
424,tensorflow_privacy.privacy.membership_inference_attack.models.create_attacker_data,models.create_attacker_data,50,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\membership_inference_attack.py,privacy,Privacy,aws-ds-NLP-BERT
425,tensorflow_privacy.privacy.membership_inference_attack.data_structures.RocCurve,RocCurve,63,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\membership_inference_attack.py,privacy,Privacy,aws-ds-NLP-BERT
426,tensorflow_privacy.privacy.membership_inference_attack.data_structures.SingleAttackResult,SingleAttackResult,65,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\membership_inference_attack.py,privacy,Privacy,aws-ds-NLP-BERT
427,tensorflow_privacy.privacy.membership_inference_attack.data_structures.RocCurve,RocCurve,78,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\membership_inference_attack.py,privacy,Privacy,aws-ds-NLP-BERT
428,tensorflow_privacy.privacy.membership_inference_attack.data_structures.SingleAttackResult,SingleAttackResult,80,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\membership_inference_attack.py,privacy,Privacy,aws-ds-NLP-BERT
429,tensorflow_privacy.privacy.membership_inference_attack.data_structures.RocCurve,RocCurve,93,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\membership_inference_attack.py,privacy,Privacy,aws-ds-NLP-BERT
430,tensorflow_privacy.privacy.membership_inference_attack.data_structures.SingleAttackResult,SingleAttackResult,95,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\membership_inference_attack.py,privacy,Privacy,aws-ds-NLP-BERT
431,tensorflow_privacy.privacy.membership_inference_attack.data_structures.SlicingSpec,SlicingSpec,141,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\membership_inference_attack.py,privacy,Privacy,aws-ds-NLP-BERT
432,tensorflow_privacy.privacy.membership_inference_attack.dataset_slicing.get_single_slice_specs,get_single_slice_specs,142,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\membership_inference_attack.py,privacy,Privacy,aws-ds-NLP-BERT
433,tensorflow_privacy.privacy.membership_inference_attack.dataset_slicing.get_slice,get_slice,145,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\membership_inference_attack.py,privacy,Privacy,aws-ds-NLP-BERT
434,tensorflow_privacy.privacy.membership_inference_attack.data_structures.AttackResults,AttackResults,154,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\membership_inference_attack.py,privacy,Privacy,aws-ds-NLP-BERT
435,tensorflow_privacy.privacy.membership_inference_attack.data_structures.PrivacyReportMetadata,PrivacyReportMetadata,164,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\membership_inference_attack.py,privacy,Privacy,aws-ds-NLP-BERT
436,tensorflow_privacy.privacy.membership_inference_attack.data_structures.AttackInputData,AttackInputData,16,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\membership_inference_attack_test.py,privacy,Privacy,aws-ds-NLP-BERT
437,tensorflow_privacy.privacy.membership_inference_attack.membership_inference_attack.run_attacks,mia.run_attacks,26,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\membership_inference_attack_test.py,privacy,Privacy,aws-ds-NLP-BERT
438,tensorflow_privacy.privacy.membership_inference_attack.data_structures.SlicingSpec,SlicingSpec,27,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\membership_inference_attack_test.py,privacy,Privacy,aws-ds-NLP-BERT
439,tensorflow_privacy.privacy.membership_inference_attack.membership_inference_attack._run_attack,mia._run_attack,33,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\membership_inference_attack_test.py,privacy,Privacy,aws-ds-NLP-BERT
440,tensorflow_privacy.privacy.membership_inference_attack.membership_inference_attack._run_attack,mia._run_attack,39,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\membership_inference_attack_test.py,privacy,Privacy,aws-ds-NLP-BERT
441,tensorflow_privacy.privacy.membership_inference_attack.membership_inference_attack._run_attack,mia._run_attack,45,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\membership_inference_attack_test.py,privacy,Privacy,aws-ds-NLP-BERT
442,tensorflow_privacy.privacy.membership_inference_attack.membership_inference_attack._run_attack,mia._run_attack,51,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\membership_inference_attack_test.py,privacy,Privacy,aws-ds-NLP-BERT
443,tensorflow_privacy.privacy.membership_inference_attack.data_structures.AttackInputData,AttackInputData,52,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\membership_inference_attack_test.py,privacy,Privacy,aws-ds-NLP-BERT
444,tensorflow_privacy.privacy.membership_inference_attack.membership_inference_attack._run_attack,mia._run_attack,60,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\membership_inference_attack_test.py,privacy,Privacy,aws-ds-NLP-BERT
445,tensorflow_privacy.privacy.membership_inference_attack.data_structures.AttackInputData,AttackInputData,61,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\membership_inference_attack_test.py,privacy,Privacy,aws-ds-NLP-BERT
446,tensorflow_privacy.privacy.membership_inference_attack.membership_inference_attack.run_attacks,mia.run_attacks,69,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\membership_inference_attack_test.py,privacy,Privacy,aws-ds-NLP-BERT
447,tensorflow_privacy.privacy.membership_inference_attack.data_structures.SlicingSpec,SlicingSpec,70,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\membership_inference_attack_test.py,privacy,Privacy,aws-ds-NLP-BERT
448,tensorflow_privacy.privacy.membership_inference_attack.data_structures.SingleSliceSpec,SingleSliceSpec,74,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\membership_inference_attack_test.py,privacy,Privacy,aws-ds-NLP-BERT
449,tensorflow_privacy.privacy.membership_inference_attack.membership_inference_attack._get_accuracy,mia._get_accuracy,81,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\membership_inference_attack_test.py,privacy,Privacy,aws-ds-NLP-BERT
450,tensorflow_privacy.privacy.membership_inference_attack.membership_inference_attack._get_accuracy,mia._get_accuracy,82,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\membership_inference_attack_test.py,privacy,Privacy,aws-ds-NLP-BERT
451,tensorflow_privacy.privacy.membership_inference_attack.membership_inference_attack._get_accuracy,mia._get_accuracy,84,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\membership_inference_attack_test.py,privacy,Privacy,aws-ds-NLP-BERT
452,tensorflow_privacy.privacy.membership_inference_attack.models.TrainedAttacker,models.TrainedAttacker,13,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\models_test.py,privacy,Privacy,aws-ds-NLP-BERT
453,tensorflow_privacy.privacy.membership_inference_attack.models.LogisticRegressionAttacker,models.LogisticRegressionAttacker,18,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\models_test.py,privacy,Privacy,aws-ds-NLP-BERT
454,tensorflow_privacy.privacy.membership_inference_attack.data_structures.AttackInputData,AttackInputData,22,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\models_test.py,privacy,Privacy,aws-ds-NLP-BERT
455,tensorflow_privacy.privacy.membership_inference_attack.models.create_attacker_data,models.create_attacker_data,24,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\models_test.py,privacy,Privacy,aws-ds-NLP-BERT
456,tensorflow_privacy.privacy.membership_inference_attack.data_structures.AttackInputData,AttackInputData,29,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\models_test.py,privacy,Privacy,aws-ds-NLP-BERT
457,tensorflow_privacy.privacy.membership_inference_attack.models.create_attacker_data,models.create_attacker_data,34,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\models_test.py,privacy,Privacy,aws-ds-NLP-BERT
458,tensorflow_privacy.privacy.membership_inference_attack.data_structures.AttackInputData,AttackInputData,45,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\models_test.py,privacy,Privacy,aws-ds-NLP-BERT
459,tensorflow_privacy.privacy.membership_inference_attack.models.create_attacker_data,models.create_attacker_data,50,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\models_test.py,privacy,Privacy,aws-ds-NLP-BERT
460,tensorflow_privacy.privacy.membership_inference_attack.data_structures.SingleAttackResult,SingleAttackResult,24,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\privacy_report_test.py,privacy,Privacy,aws-ds-NLP-BERT
461,tensorflow_privacy.privacy.membership_inference_attack.data_structures.SingleSliceSpec,SingleSliceSpec,25,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\privacy_report_test.py,privacy,Privacy,aws-ds-NLP-BERT
462,tensorflow_privacy.privacy.membership_inference_attack.data_structures.RocCurve,RocCurve,27,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\privacy_report_test.py,privacy,Privacy,aws-ds-NLP-BERT
463,tensorflow_privacy.privacy.membership_inference_attack.data_structures.SingleAttackResult,SingleAttackResult,33,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\privacy_report_test.py,privacy,Privacy,aws-ds-NLP-BERT
464,tensorflow_privacy.privacy.membership_inference_attack.data_structures.SingleSliceSpec,SingleSliceSpec,34,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\privacy_report_test.py,privacy,Privacy,aws-ds-NLP-BERT
465,tensorflow_privacy.privacy.membership_inference_attack.data_structures.RocCurve,RocCurve,36,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\privacy_report_test.py,privacy,Privacy,aws-ds-NLP-BERT
466,tensorflow_privacy.privacy.membership_inference_attack.data_structures.AttackResults,AttackResults,41,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\privacy_report_test.py,privacy,Privacy,aws-ds-NLP-BERT
467,tensorflow_privacy.privacy.membership_inference_attack.data_structures.PrivacyReportMetadata,PrivacyReportMetadata,43,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\privacy_report_test.py,privacy,Privacy,aws-ds-NLP-BERT
468,tensorflow_privacy.privacy.membership_inference_attack.data_structures.AttackResults,AttackResults,49,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\privacy_report_test.py,privacy,Privacy,aws-ds-NLP-BERT
469,tensorflow_privacy.privacy.membership_inference_attack.data_structures.PrivacyReportMetadata,PrivacyReportMetadata,51,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\privacy_report_test.py,privacy,Privacy,aws-ds-NLP-BERT
470,tensorflow_privacy.privacy.membership_inference_attack.data_structures.AttackResults,AttackResults,57,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\privacy_report_test.py,privacy,Privacy,aws-ds-NLP-BERT
471,tensorflow_privacy.privacy.membership_inference_attack.data_structures.PrivacyReportMetadata,PrivacyReportMetadata,59,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\privacy_report_test.py,privacy,Privacy,aws-ds-NLP-BERT
472,tensorflow_privacy.privacy.membership_inference_attack.data_structures.AttackResults,AttackResults,65,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\privacy_report_test.py,privacy,Privacy,aws-ds-NLP-BERT
473,tensorflow_privacy.privacy.membership_inference_attack.data_structures.AttackResultsCollection,AttackResultsCollection,72,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\privacy_report_test.py,privacy,Privacy,aws-ds-NLP-BERT
474,tensorflow_privacy.privacy.membership_inference_attack.privacy_report.plot_by_epochs,privacy_report.plot_by_epochs,75,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\privacy_report_test.py,privacy,Privacy,aws-ds-NLP-BERT
475,tensorflow_privacy.privacy.membership_inference_attack.data_structures.AttackResultsCollection,AttackResultsCollection,76,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\privacy_report_test.py,privacy,Privacy,aws-ds-NLP-BERT
476,tensorflow_privacy.privacy.membership_inference_attack.privacy_report.plot_by_epochs,privacy_report.plot_by_epochs,88,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\privacy_report_test.py,privacy,Privacy,aws-ds-NLP-BERT
477,tensorflow_privacy.privacy.membership_inference_attack.data_structures.AttackResultsCollection,AttackResultsCollection,89,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\privacy_report_test.py,privacy,Privacy,aws-ds-NLP-BERT
478,tensorflow_privacy.privacy.membership_inference_attack.privacy_report.plot_by_epochs,privacy_report.plot_by_epochs,104,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\privacy_report_test.py,privacy,Privacy,aws-ds-NLP-BERT
479,tensorflow_privacy.privacy.membership_inference_attack.data_structures.AttackResultsCollection,AttackResultsCollection,105,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\privacy_report_test.py,privacy,Privacy,aws-ds-NLP-BERT
480,tensorflow_privacy.privacy.membership_inference_attack.data_structures.AttackResultsCollection,AttackResultsCollection,131,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\privacy_report_test.py,privacy,Privacy,aws-ds-NLP-BERT
481,tensorflow_privacy.privacy.membership_inference_attack.privacy_report.plot_privacy_vs_accuracy,privacy_report.plot_privacy_vs_accuracy,134,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\privacy_report_test.py,privacy,Privacy,aws-ds-NLP-BERT
482,tensorflow_privacy.privacy.membership_inference_attack.data_structures.AttackResultsCollection,AttackResultsCollection,135,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\privacy_report_test.py,privacy,Privacy,aws-ds-NLP-BERT
483,tensorflow_privacy.privacy.membership_inference_attack.privacy_report.plot_privacy_vs_accuracy,privacy_report.plot_privacy_vs_accuracy,147,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\privacy_report_test.py,privacy,Privacy,aws-ds-NLP-BERT
484,tensorflow_privacy.privacy.membership_inference_attack.data_structures.AttackResultsCollection,AttackResultsCollection,148,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\privacy_report_test.py,privacy,Privacy,aws-ds-NLP-BERT
485,tensorflow_privacy.privacy.membership_inference_attack.privacy_report.plot_privacy_vs_accuracy,privacy_report.plot_privacy_vs_accuracy,163,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\privacy_report_test.py,privacy,Privacy,aws-ds-NLP-BERT
486,tensorflow_privacy.privacy.membership_inference_attack.data_structures.AttackResultsCollection,AttackResultsCollection,164,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\privacy_report_test.py,privacy,Privacy,aws-ds-NLP-BERT
487,tensorflow_privacy.privacy.membership_inference_attack.utils.log_loss,log_loss,36,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\tf_estimator_evaluation.py,privacy,Privacy,aws-ds-NLP-BERT
488,tensorflow_privacy.privacy.membership_inference_attack.data_structures.get_flattened_attack_metrics,get_flattened_attack_metrics,102,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\tf_estimator_evaluation.py,privacy,Privacy,aws-ds-NLP-BERT
489,tensorflow_privacy.privacy.membership_inference_attack.utils_tensorboard.write_results_to_tensorboard,write_results_to_tensorboard,111,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\tf_estimator_evaluation.py,privacy,Privacy,aws-ds-NLP-BERT
490,tensorflow_privacy.privacy.membership_inference_attack.data_structures.AttackInputData,AttackInputData,177,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\tf_estimator_evaluation.py,privacy,Privacy,aws-ds-NLP-BERT
