library,function,line,file
wandb.Artifact,wandb.Artifact,55,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\felixpeters\lung-cancer-detection\lung_cancer_detection\experiment.py
pytorch_lightning.loggers.WandbLogger,WandbLogger,66,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\felixpeters\lung-cancer-detection\scripts\train_classification_model.py
wandb.finish,wandb.finish,96,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\felixpeters\lung-cancer-detection\scripts\train_classification_model.py
logging.critical,logging.critical,34,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hasanyeganeh\pytorch-pytorch\caffe2\python\_import_c_extension.py
torch.testing._internal.logging_tensor.LoggingTensor,LoggingTensor,26,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hasanyeganeh\pytorch-pytorch\test\autograd\test_functional.py
torch.distributed.elastic.utils.logging._derive_module_name,logging._derive_module_name,23,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hasanyeganeh\pytorch-pytorch\test\distributed\elastic\utils\logging_test.py
torch.jit._logging.LockingLogger,torch.jit._logging.LockingLogger,31,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hasanyeganeh\pytorch-pytorch\test\jit\test_logging.py
torch.jit._logging.time_point,torch.jit._logging.time_point,62,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hasanyeganeh\pytorch-pytorch\test\jit\test_logging.py
torch.ao.ns._numeric_suite_fx.extend_logger_results_with_comparison,extend_logger_results_with_comparison,841,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hasanyeganeh\pytorch-pytorch\test\quantization\fx\test_numeric_suite_fx.py
torch.ao.ns._numeric_suite_fx.extract_logger_info,extract_logger_info,898,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hasanyeganeh\pytorch-pytorch\test\quantization\fx\test_numeric_suite_fx.py
